[0.1591, 0.3379, 0.22, 0.0283, 0.1028, 0.0007, 0.0363, 0.0769, 0.0034, 0.0346],
[0.1804, 0.3048, 0.1734, 0.0019, 0.0847, 0.0423, 0.0983, 0.068, 0.0362, 0.01],
[0.1507, 0.2713, 0.2134, 0.0357, 0.1162, 0.016, 0.0269, 0.0759, 0.092, 0.002],
[0.2258, 0.1321, 0.1871, 0.0191, 0.0234, 0.0464, 0.0561, 0.1246, 0.0756, 0.1097],
[0.1353, 0.4025, 0.1265, 0.0123, 0.0712, 0.0649, 0.1036, 0.0059, 0.035, 0.0427],
[0.1854, 0.2315, 0.2404, 0.0569, 0.0455, 0.0031, 0.0671, 0.0458, 0.0803, 0.0441],
[0.1498, 0.3566, 0.1446, 0.0317, 0.0023, 0.0366, 0.0056, 0.1212, 0.1434, 0.0083],
[0.1354, 0.2092, 0.2663, 0.1216, 0.0057, 0.0592, 0.0344, 0.0366, 0.0184, 0.1133],
[0.1387, 0.3385, 0.1242, 0.0374, 0.0164, 0.0281, 0.0464, 0.0911, 0.0928, 0.0865],
[0.3417, 0.2631, 0.1261, 0.0216, 0.0143, 0.0683, 0.0808, 0.0077, 0.0242, 0.0521],
[0.2081, 0.15, 0.1622, 0.0987, 0.0236, 0.056, 0.1124, 0.0788, 0.0935, 0.0166],
[0.1697, 0.2743, 0.2141, 0.0174, 0.0545, 0.0464, 0.0113, 0.0563, 0.0501, 0.1059],
[0.1416, 0.186, 0.3048, 0.0222, 0.0967, 0.0263, 0.082, 0.0034, 0.1004, 0.0365],
[0.1508, 0.1296, 0.3489, 0.0266, 0.0389, 0.1178, 0.0853, 0.0056, 0.0095, 0.087],
[0.2015, 0.3563, 0.1524, 0.0343, 0.0536, 0.0055, 0.0157, 0.0372, 0.1161, 0.0276],
[0.1736, 0.1268, 0.1412, 0.1197, 0.0739, 0.0874, 0.0631, 0.1054, 0.0873, 0.0216],
[0.1957, 0.1988, 0.2433, 0.064, 0.0107, 0.06, 0.0777, 0.0479, 0.0353, 0.0667],
[0.4117, 0.1454, 0.2067, 0.0038, 0.1062, 0.0017, 0.0581, 0.0219, 0.0424, 0.0021],
