[0.0168, 0.0356, 0.0026, 0.0753, 0.0963, 0.0694, 0.1104, 0.3144, 0.1668, 0.1124],
[0.0342, 0.0657, 0.0837, 0.0197, 0.0856, 0.0656, 0.0998, 0.1176, 0.0984, 0.3297],
[0.0778, 0.0611, 0.0188, 0.0118, 0.0043, 0.0662, 0.0948, 0.1688, 0.286, 0.2103],
[0.0096, 0.032, 0.0601, 0.0566, 0.0, 0.0312, 0.1631, 0.2102, 0.2724, 0.1648],
[0.0198, 0.0805, 0.1217, 0.0051, 0.0439, 0.0747, 0.1282, 0.1372, 0.2376, 0.1513],
[0.0084, 0.002, 0.0624, 0.0727, 0.046, 0.0902, 0.1275, 0.331, 0.168, 0.0917],
[0.0006, 0.0952, 0.016, 0.0128, 0.0085, 0.0253, 0.4148, 0.2029, 0.1112, 0.1127],
[0.0605, 0.0254, 0.049, 0.0923, 0.0621, 0.0074, 0.1054, 0.0951, 0.311, 0.1917],
[0.0244, 0.0092, 0.034, 0.0528, 0.1013, 0.0438, 0.2024, 0.2286, 0.1157, 0.1877],
[0.0238, 0.0992, 0.0607, 0.0854, 0.0604, 0.0499, 0.1801, 0.1108, 0.1551, 0.1746],
[0.0024, 0.077, 0.0598, 0.0106, 0.0523, 0.003, 0.2415, 0.1836, 0.2438, 0.1259],
[0.0148, 0.0314, 0.035, 0.015, 0.0834, 0.0342, 0.1551, 0.1026, 0.4026, 0.1258],
[0.0272, 0.044, 0.0201, 0.0147, 0.1073, 0.102, 0.2067, 0.1193, 0.147, 0.2118],
[0.049, 0.0483, 0.0172, 0.028, 0.0314, 0.0187, 0.0757, 0.2639, 0.3752, 0.0927],
[0.0576, 0.0212, 0.0421, 0.0111, 0.0271, 0.0399, 0.3998, 0.0723, 0.0823, 0.2467],
[0.0329, 0.0761, 0.0171, 0.0746, 0.088, 0.0664, 0.2173, 0.1173, 0.189, 0.1214],
[0.0333, 0.0784, 0.0525, 0.0594, 0.0396, 0.0328, 0.1845, 0.1002, 0.0908, 0.3285],
[0.0066, 0.0072, 0.0057, 0.088, 0.0442, 0.0222, 0.1012, 0.1656, 0.2258, 0.3335],
[0.0279, 0.0035, 0.0953, 0.0684, 0.0197, 0.0001, 0.0988, 0.1677, 0.2617, 0.2568],
[0.0387, 0.0611, 0.0082, 0.051, 0.0604, 0.008, 0.2308, 0.2388, 0.1903, 0.1127],
[0.1135, 0.0201, 0.0006, 0.004, 0.0629, 0.1038, 0.1294, 0.1595, 0.2126, 0.1936],
[0.0044, 0.0041, 0.0883, 0.0491, 0.0805, 0.0701, 0.1022, 0.121, 0.3424, 0.1379],
[0.019, 0.0085, 0.0417, 0.0236, 0.0499, 0.0365, 0.1148, 0.4082, 0.1762, 0.1215],
[0.0756, 0.0935, 0.0928, 0.0338, 0.04, 0.1171, 0.1341, 0.1271, 0.1312, 0.1548],
[0.0254, 0.019, 0.085, 0.0564, 0.0215, 0.0192, 0.2113, 0.302, 0.1671, 0.0934],
[0.0354, 0.064, 0.0366, 0.0551, 0.1166, 0.0833, 0.1598, 0.1586, 0.1518, 0.1388],
[0.095, 0.005, 0.009, 0.023, 0.016, 0.0467, 0.3535, 0.2059, 0.1207, 0.1251],
[0.0701, 0.0056, 0.0165, 0.0047, 0.0599, 0.0304, 0.2044, 0.2841, 0.2401, 0.0841],
[0.0163, 0.0737, 0.0494, 0.031, 0.0193, 0.0583, 0.1518, 0.188, 0.1724, 0.2398],
[0.0156, 0.0728, 0.0105, 0.0436, 0.0309, 0.0341, 0.2959, 0.1635, 0.2291, 0.1041],
[0.0166, 0.0097, 0.0533, 0.0298, 0.0536, 0.0301, 0.1278, 0.547, 0.0614, 0.0707],
[0.0133, 0.0355, 0.0665, 0.0974, 0.0522, 0.106, 0.118, 0.2686, 0.1179, 0.1246],
